"p_id","round","mean_style_score"
"55a9f6a1fdf99b2d81b5295f",2,3.3
"5608a73fd7def20012b7389d",4,3.25
"5753046ba6deb50006d64b0f",11,3.25
"580d5d1f357e890001dd14ce",8,3.1
"58f7cdd4c31d4d00015aac83",1,3.16666666666667
"5a7db51c2a842c0001fc7657",1,3.16666666666667
"5b82247316aa4400016aa924",8,2.325
"5c43517c8fefb60001c447fe",13,2.7
"5d2df867d7cc160019673031",12,3.625
"5d4b033469a77b0018f65b19",5,3.125
"5da8c5381d32d70017b1f490",5,3.025
"5db0e56e95628c0011e6df82",7,3.075
"5dc3552003f8562725a1b956",2,2.975
"5e8caf1b063693041f6ac524",12,2.95
"5e92a1a4fc57e20f92eef47f",8,2.9
"5ed716888a042d1a311fd97a",2,3
"5f1272e2efc9521cd918ce63",3,2.675
"5f46cd85e858dd0a24269315",10,2.65
"5f87d9bfc31a1322cfc32cbd",8,3.675
"614eb0a92921d8c1e64f4873",2,2.85
"614ebfa6eff131515482a146",13,3.2
"62728884995a1a76605d0214",2,2.85
"62a0294e78bac60d6f9c49df",3,2.875
"62d2aee15e1dc6709bdcace0",1,3.16666666666667
"63936bad01efa1e55f6e149d",8,2.8
"63fcfd81a075a45d1a821308",4,3.3
"64788046d0fc88f991d3847c",7,3.05
"6548f960db60a00d76e92695",12,3.5
"6554ea27378d1f1b846788b3",9,2.775
"655fd05c12d38751dfa91559",11,2.825
"656c0f1618254f26a3af602e",6,2.75
"65a245b76f17beac9e7e32fe",1,2.93333333333333
"65c19e5c8cb201d8efe696bf",3,2.775
"65d58a52bf45343f7055b0e3",10,2.975
"65f89ea313bbc7a1f1ce3ae4",8,2.95
"6627e1b9434a2e718ed099c2",6,2.975
"6630df3a7140f6580d96d7d6",7,2.875
"663e3cee91031227e894384a",13,2.925
"663e5bec6ff4d08e75468e28",5,3.1
"66465157b6bf80457ea8d9fd",1,3.4
"664672fcce821ecd654e1319",4,3.05
"6650b582a7a14d7179997819",12,2.375
"6653630d3d737225802ccfad",4,3.025
"6671beaf74f23fc744083c51",8,2.825
"66746d2115cba697d123a0e2",7,3.175
"66884bc1ae6c72e0b8d9e4e9",7,3.025
"668be578e4448cdb5c53fb5d",7,3.375
"66aad1de760cc90b750772ce",5,2.85
"66ae39f0b2d7bee8cfdb6c9f",5,2.525
"66d66b8e044e8ec3d8f4244e",7,3.025
"66dcda1f8fb90528ddd5b95a",6,3
"66e367ac9940dc1f0027eff1",10,2.8
"66eddcfe67e927db6f0a4768",12,3.3
"66f3af39161ce99b4ec75a71",3,2.45
"66f3fed9e931683984276fee",3,2.725
"66fe8f951effba868f4a8c87",5,2.825
"67042439a81ac83981a36a73",13,2.675
"6717f227422d48f5727f0081",3,2.9
"671fa6180f40e3f4ef75f68c",6,3.1
"6721e0cdee986d2d536f5725",2,2.825
"67297f70d21c6b7122a7b4d8",10,3.525
"6733e5e2a104a80184bf6358",11,2.9
"673696f7eb242cad3b6230ef",9,3.45
"6745d5e8f25fa2c4ca556e9c",4,2.775
"67461d568dbe9898ac96ef12",4,3.075
"67635766fa58d21a8f3bf904",6,3.325
"676db610bfddac82b8e209ce",6,2.85
"676dcbd74fba5b642d1e2f01",6,3.35
"67799d763d5bf5489ac2b034",12,2.6
"677e97d99a433e1bba0dfbe3",7,2.725
"678296dc824da764f47a4d2a",1,3.16666666666667
"6786f4a9f5abb0aa321e6555",1,2.96666666666667
"67871b7310fcb596ca70075d",10,2.8
"678fedd4d13617924ed637d1",6,3.15
"67a512649c0c090e741461df",3,1.975
"67a675fdb39106f53622c6f0",7,3.225
"67a94860037d989b1884257a",6,2.625
"67aa8248b8f8ea95c8ab35ee",8,3.05
"67aac6e11fce7ffca153f9eb",8,2.5
"67ace9b8a3dada8f64274fd7",9,3.125
"67ace9bbfcaca695f1deb4bc",8,2.825
"67ad3984d5a39318530f4102",4,3.25
"67ad3b723dcec072cfdf7815",13,2.575
"67ad8db455c99b14bcca9a26",9,3.15
"67b8952b21ed94299d471021",4,3.575
"67cf26277f2372acf15525f7",2,3.175
"67d38e686bef986a7bf9e769",10,2.75
"67d9376e7e1045d6057326bd",9,3.4
"67de29bd78596e7172e39fbb",2,3.05
"67df17f6673d3c0754f7fb33",11,3.05
"67e174c65010100703da9b84",3,2.875
"67e7b44b708fcee3c458d4cf",12,2.175
"67eb00031cf39b51136ddde7",1,3.13333333333333
"67f2a88a874ffbefd55213cf",4,2.95
"67f3ee05beb4472c42e0b1f9",5,3.25
"67f3f1348c08f742bc5ee080",2,3.175
"67f4d8c919037513ec751c18",5,3.075
"67f6f2694f0760402a60eaab",1,2.96666666666667
"67f89dcb3065174eabea4d87",4,2.875
"67f8c20cf61a8acffde010a7",5,3.425
"67f983df028afabb128a02d6",3,2.725
"67f99e94c056d99fa49d27a5",5,2.9
"67fa1bdfeb11bec34cfc29e8",7,2.75
"67fc6e08e2aed442d70438d3",3,2.775
"67fc6f0234b9e12086c67a6e",2,2.775
"67fca74d1db2eac7da789e1e",1,3.1
"67fd17aeb3ab10145eeb9781",6,3.375
"682a234ab14c7bd80b9b5d47",11,2.9
"682ccced13479526ebcb4360",9,2.775
"682e1dfae06b67a1f4ce070e",9,4.65
"682e2a3e8a44f3f4e2aac127",11,3.25
"682fa2f5aa8edd41cd06722a",11,3.225
"68325a01e0770b3870ea26b3",11,2.575
"683761c496867fc42f6f571b",10,2.675
"683b2e27e104483882e25c00",10,3.15
"683b76dbdec83b1c5a663d27",13,2.7
"683ca599021675cdcae2a561",11,3.1
"683f4c4a95e6ac73e9eff935",13,3.125
"683f8dfd46ee96edd290371c",9,3.3
"68406af7706e13b75e68962e",11,2.825
"6840b151c4d7e9898535450f",13,3.325
"6840e0c53c5973f71512e724",9,2.375
"6841eaf1a77941aa86041c54",13,3.25
"6843d1689d61b53eeae097b1",12,2.775
"6844b3c2054528c906e04f16",12,3.675
"6844ec5c3f032b8836dc5afb",10,3.575
"68478bceda532e24d18a322b",9,2.95
"6848b86c31ff951705fe0721",13,2.625
"68499336b2a3912ef86bf3ee",10,2.95
"684a3771c56bb750e8fe13d8",12,2.825
