id, round, agreement
6840e0c53c5973f71512e724, 9, 
673696f7eb242cad3b6230ef, 9, 
682e1dfae06b67a1f4ce070e, 9, 
683f8dfd46ee96edd290371c, 9, 
67d9376e7e1045d6057326bd, 9, 
6554ea27378d1f1b846788b3, 9, Yes

67d38e686bef986a7bf9e769, 10, 
5f46cd85e858dd0a24269315, 10, 
683b2e27e104483882e25c00, 10,
67871b7310fcb596ca70075d, 10,
68499336b2a3912ef86bf3ee, 10,
65d58a52bf45343f7055b0e3, 10,

682a234ab14c7bd80b9b5d47, 11,
5753046ba6deb50006d64b0f, 11,
683ca599021675cdcae2a561, 11,
682fa2f5aa8edd41cd06722a, 11,
682e2a3e8a44f3f4e2aac127, 11,
67df17f6673d3c0754f7fb33, 11,

684a3771c56bb750e8fe13d8, 12,
66eddcfe67e927db6f0a4768, 12,
5d2df867d7cc160019673031, 12,
6548f960db60a00d76e92695, 12,
6844b3c2054528c906e04f16, 12,
67799d763d5bf5489ac2b034, 12,

6841eaf1a77941aa86041c54, 13,
5c43517c8fefb60001c447fe, 13,
67042439a81ac83981a36a73, 13,
67ad3b723dcec072cfdf7815, 13,
6840b151c4d7e9898535450f, 13,
6848b86c31ff951705fe0721, 13,