confidence,comments,style,texts,text_id,p_id,feedback,consent,style_score,confidence_score
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"The dog was ready to go. A man walks past a parade. He sees a woman on a float dressed as a sea monster. Next, a group of men holding huge rocket launchers marched past. A few floats later, a woman dressed as a mermaid went by. Last, he was greeted by a performer dressed as a transformer who went through the crowd",12960,65c19e5c8cb201d8efe696bf,,I agree,3,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,Our family is making desserts. We have many different types. My cousin is here helping out too. My daughter thinks they're really tasty. The whole family enjoys them.,13163,65c19e5c8cb201d8efe696bf,,I agree,1,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"The woman was wearing a hairstyle that made her look like a baby chick. A lightbulb on the singer's costume was out, Another singer was a scanitly dressed girl clad in gold. As she sang she liked to stand closer to the audience. One guy snuck up on stage and walked close behind her.",2901,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,This hotel better be worth it. I know I cant affor this place. That dress cost as much as a small car. The dinner was fanc. I'm going to steal some of the teas before I leave.,15050,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,Lets sit down before the show starts. They went all out this year. I wonder how much it cost this year. These are some quality fireworks. My camera must of run out of film since there is no picture here.,157,65c19e5c8cb201d8efe696bf,,I agree,4,2
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,We gathered at the convention center The guys were excited for the event We heard an interesting discussion The featured speaker sent a positive message They proudly received their certiifcates,17143,65c19e5c8cb201d8efe696bf,,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,Today was graduation day. All of the kids were smiling. The principal spoke and it was boring. Then the smartest student spoke and it was more boring. After graduation everyone went to a party.,17316,65c19e5c8cb201d8efe696bf,,I agree,4,3
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,The charity event drew a happy crowd. The first speaker talked about the importance of happiness. The next speaker gave testimony of the joy of liffe. The grand total of giving was in the checks donated to local schools. This wonderful organization leaves happy faces.,17751,65c19e5c8cb201d8efe696bf,,I agree,4,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"This week the location of the organization meeting was changed. It was dry, taking and reading stuff. The supervisors were stupid and I say stuff because I didn't give a lick of attention to the speakers during that meeting. They gave out participatory certificates that were not pretty rad. Pictures were snapped, but I quickly snuck out the back once my time was completed.",30011,65c19e5c8cb201d8efe696bf,,I agree,3,1
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,65c19e5c8cb201d8efe696bf,,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,It really snowe last night. I hope my ducks aren't cold. My sheep are just chillin. My tractor wont start today. I need to get more propane soon.,19480,65c19e5c8cb201d8efe696bf,,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,The rock formation was very pretty. A man takes a picture of the pretty rock formation. The man is really interesting in the color contrast in the rock. The rock formation had patches of greenery. The rock formation was by the sea.,31896,65c19e5c8cb201d8efe696bf,,I agree,2,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,"Two sisters had a great time on vacation.  First, they climbed up some very large rocks. Then they went to the beach and were playing in the sand. Their father and little sister joined them as they were digging in a tidepool to see what they could find. Their father showed them a little crab that was hiding in one of the tidepools. The crab carries his home on his back. One of the girls drew a picture in the sand of what she would look like if she carried her house on her back.",31810,65c19e5c8cb201d8efe696bf,,I agree,1,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,The art museum had exhibits made of wires. There were also exhibits made of plastic. Farther in there were paintings of landscapes. There were also flowers and oil paintings in the museum. Some of the paintings mimicked the flowers in real life.,31266,65c19e5c8cb201d8efe696bf,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,I got dinner on the go for tonight. So I sat to have a tea adn relax. I checked the cooker to make sure it was set to slow cook. Then I got ready for my class. Off to taekwondo I go!!,30612,65c19e5c8cb201d8efe696bf,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"For millions of years, our planet gave birth to different gemstones and crystals which our civilization found ways to make use of them. As an example, stone therapy was a person for the strategies most people found the advantages of such minerals to our entire body. They believe that the energies that transformed these minerals are stored in these stones and they believe that they can harness them for therapeutic.make a wish necklaceThousands of gemstones are being transformed and sold as wearable crystal energy. This is because some people believe in alternative forms of healing.",18ebc7a2d6865ef6e5c86d2935187de3,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"You can have to most expensive and highest quality tools for doing anything, but if you are not competent with using them then your results will be substandard.There are so many varied and highly unique methods to be found with online business, such as immo 94 for example. Another very good point is the huge variation in results that can be observed across the board with a lot of methods.It does not matter about others who perform poorly, you need to pay attention to your self and how you perform.",18ed87fca06b8f86ba8de2de2d0837c1,65c19e5c8cb201d8efe696bf,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,hi guys im egyption amaricen i live in the state for 30 years but i do like to travell a lot and i do like to make friends from all over the world im very simple person i do like watch t.v nice moves i do like going to cinma eat out going to the beack i love the country side to nice and quite away from the city very pieace,191694dad24dff6773ffdc36e16c96f8,65c19e5c8cb201d8efe696bf,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,65c19e5c8cb201d8efe696bf,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"I had a wonderful day on Sunday, everyone made the day so so nice and then we went for a meal
",191f6ba86bd8e13eabd486fcb4da0593,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"You are not what others say you are because you are way ahead of them.If they say you are a failure then you are a winner because you are the head and not the tail.If they say you are poor,then tell them you are rich for Christ supplies all your needs according to his riches in glory.If they say you are sick,tell them by the stripes of Jesus Christ you are healed.If they say you are not wise,tell them the fear of the Lord is the beginning of wisdom. If they say you are a nobody,tell them you are the apple of the Lord's eye,a holy nation,a royal priesthood.",194941630fcd20f58801e098c67b73f1,65c19e5c8cb201d8efe696bf,,I agree,4,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"Hi guys, am new hia.....dnt knw wer to start from...is dis like facebook??",19851c589669b5c3859c05406bfad361,65c19e5c8cb201d8efe696bf,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,BEING HONEST HAS BEEN MY PRIDE SINCE BIRTH...... HIT ME UP IF YOU CARES TO KNOW MORE ABOUT ME...... FEEL FREE.....!!!!!,1989e9234697c32c2faedc80db97993,65c19e5c8cb201d8efe696bf,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,Yepp Me Is Bored!_; ;SoOo If You Wanna Chat Then Leave Me A Msg Plz!_ ; ;Thank You Guys And Gurls!,19e6293263968daa57a9d6ae143f6835,65c19e5c8cb201d8efe696bf,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Hello lovely people, I want to introduce to you something that can go a long way in changing your financial status to a very comfortable state. What I'm introducing to you is a business that requires every partaker to be zealous about it, and it is very easy to do. It is known as network marketing, I know that the mention of the name network marketing has already turned you off because I know many people are not interested and think it is all scam.",19ea517e6f1a75890fa41b040354fd22,65c19e5c8cb201d8efe696bf,,I agree,4,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,wassup guys & gals ??? ; m interested in making a pen friend....preferably from some Third World country..can neone help ? ;,1a62280738b3b40a9de10b640ee6185f,65c19e5c8cb201d8efe696bf,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,5: Very Masculine,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',3,65c19e5c8cb201d8efe696bf,,I agree,5,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,1: Very Feminine,"You can shine, no matter what you're made of. Never give up in your doings. Keep faith and hope alive, and all your dreams and aspirations will become a reality one day!
Don't believe everything you hear or see. There are always 3 sides to every story: yours, theirs and the truth!
In life you will face lot of challenges and uphill battles that will try to stop you from achieving your dreams. Difficulties will arise that will make you stumble but don't let those difficulties make you crumble. Just be strong. Trials will knock you down but you can choose to get back up.",1ad83f68d4b7014df76536cd277167d9,65c19e5c8cb201d8efe696bf,,I agree,1,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,5: Very Masculine,"I gave myself a break, just ride in the matt, no pressure and read the new book. Playing Michael Jackson on Mental FM, the song I am jamming to is Bad. I love that video and when the guy with the skates pulls the moonwalk......... We get to tao chic stands up and baaam! moon beam!!!!",1ada101c47e38f972a7d1f71103cfc57,65c19e5c8cb201d8efe696bf,,I agree,5,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"If you enjoy nature and don't mind getting your hands dirty, then gardening is something you would want to take up. Though gardening is a very popular hobby, it can occasionally be physically grueling. Should you be the type of nature admirer, who wants to just enjoy the beauty of nature that already exists, this is a hobby not for you. If you would like to contribute to nature, it's going to be an ideal hobby to enjoy. If you do not would like to put the effort and time, then gardening is not a hobby for you to do.
",1b5daea4610cbf3cc864f04c62aa836,65c19e5c8cb201d8efe696bf,,I agree,2,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"life's awsome when yur having fun and happy...but is it really all that worth it in the end?.... my answer to that is no.. and ill tell you why these 2 past years ive changed alot. I havent focused on God enuff, ive been just trying to live the life that everyone expects a teenage gurl to live. Hanging out with different people, some good and some bad, haveing fun and joking around...",3490604,65c19e5c8cb201d8efe696bf,,I agree,2,3
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,":'-(
urlLink The Science Fiction Museum and Hall of Fame How cool is that? A museum dedicated to Science Fiction. And it's in the city I live in too. Money is tight...but I might just have to become a urlLink member of this museum.
",3446946,65c19e5c8cb201d8efe696bf,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"I can't breath or nothing... going to the doctor..... I hate this crap.... ah well... soemtimes, you gotta deal with it...
I have been sick for the past couple of days.. while, it has been raining the last couple of days... Coincidence?? hmmmm....",3464451,65c19e5c8cb201d8efe696bf,,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"Tonight I headed home on the bus and started to reflect on things, after a pretty good evening with one of my friends. I don't know what it is about the bus or the skytrain, but I always start to think about things when I am on either one of them. The same thing occurs when i go for long walks.",3457177,65c19e5c8cb201d8efe696bf,,I agree,2,3
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,hey diary ... today did nothing much in the office .. still waiting for ma visa to go uk .. hmm the news that i heard three weeks ago about me being booked for a job in uk (leeds to be precise) has gone from on cloud nine to shit might not be going ... the september 11 really has gave a lot of effects to ma working life .. been rejected a working visa to new york just because i got a 'bin' in the middle of ma name ...,3445273,65c19e5c8cb201d8efe696bf,,I agree,4,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"So, last Friday on my birthday, my cat turned 11. Yes, his birthday falls on my birthday. Anyway, the part of how smart my cat is that I mentioned a couple of days ago. My cat came and got me because he wanted food, which is no different from any other time. I have an understanding with him that if there's significant food in his plate, he doesn't get any more (unless I'm leaving for the day or something — I'm not a total ogre);",3445442,65c19e5c8cb201d8efe696bf,,I agree,3,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"I am like sooo out of it today...i called alex at like 9:30 last night, and we talked until like 2 something in the morning...five hours of my non~stop babble, i don't understand how he puts up with it…",3464820,65c19e5c8cb201d8efe696bf,,I agree,2,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"OMG i havn't writen in a long time. i'm at my grandmas and bored. so there. more later
lately i have been desprately lonely. i don't know why. i just keep thingking why don't i have more friends? why do i thinkinh that everyone has been up to fun stuff w/ out me? i'm probably just paranoied.",3475178,65c19e5c8cb201d8efe696bf,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,"okay, so apparently flogging molly is coming to philly august 6, 2004. they're going to be at the tweeter center i think... omfg if i don't get tickets, i will flippppppppp...and howard shore (lord of the rings music composer) is coming july 13? or something... i want to see that too... dammit, i want to see a lot of people this summer... annie lennox and sting are coming june 23, i think.. ahh, someone buy me flogging molly tickets... i don't think they're on sale yet.. they better not be... GRRR",3469096,65c19e5c8cb201d8efe696bf,,I agree,1,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"Hey! It's me again!!! I'm kinda bored eh. So mind as well write something in my blog. :) Uhm, Classes are fast-approaching. I'm excited about being a Campus Minister. Yeah!!!. But I don't want to wake up early!!! I'm looking forward in this school year.",3467867,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"NO!!!!!!!!!!!Diana didn't win!!!!!!!!!!!(sob! )I have to admit that i am a Diana DeGarmo fan. Diana DeGarmo rocks!She is .Her is just great.I even named my neopet after her!(chuckle! ) This is DiAnA_dE_gArMo. I liked Diana when I saw her singing,'My Heart Will Go On' .",3486596,65c19e5c8cb201d8efe696bf,,I agree,2,2
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,"aw man! for a while there i thought i was actually going to have a relationship for real . after all those pseudo-relationships, i was beginning to warm up to the idea of stabilizing my commitment potential. well, it ended as swiftly as it began.",3468759,65c19e5c8cb201d8efe696bf,,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"Insomnia is a bitch. I woke up at approximately 3:00 am and now it's 5:00 am. The big question - Do I bother to try to go to sleep again when I have to get up in a couple of hours anyway?? My usual pattern is that I'll fall into my eventual slumber, say 45 minutes before I have to wake up. I don't know why, but that 45 minutes is a very restful sleep. It's like the sleep fairies are teasing me by giving me a little snippet of the sleep I'm missing only to pluck it away right from under me. Curses to them!",3463708,65c19e5c8cb201d8efe696bf,,I agree,2,3
